month,day,time,room,speaker,speaker_department,speaker_institution,speaker_url,speaker_image,title,abstract_file
9,4,5 pm,MATH 238,,Department of Mathematics and Statistics,Texas Tech University,,DoubleT.jpg,Actuary Club meeting,empty.txt
9,11,6 pm,MATH 238,,Department of Mathematics and Statistics,Texas Tech University,,DoubleT.jpg,Math Club meeting,Free Pizza! Contact <a href="mailto:xueting.xia@ttu.edu">Amanda (Xueting) Xia</a> for more details
9,12,8 pm,MATH 112,Professors Lee&#44; Lupu & Tran,Department of Mathematics and Statistics,Texas Tech University,,DoubleT.jpg,Math Circle,mathcircle.txt
9,14,6-8 pm,"11201 Norfolk Ave, Unit 1",,,,,DoubleT.jpg,Department Fall Social,"Hosted by Horn Professor William Jay Conover and Mrs. Susan Conover. All Math Faculty, Teaching Assistants, Staff and Immediate Families are invited"
9,16,3 pm,MATH 238,,Department of Mathematics and Statistics,Texas Tech University,,DoubleT.jpg,AWM Raiders Meeting (Association for Women in Mathematics),Join us for an ice cream social that includes faculty and graduate student panel!
9,19,8 pm,MATH 112,Professors Lee&#44; Lupu & Tran,Department of Mathematics and Statistics,Texas Tech University,,DoubleT.jpg,Math Circle,mathcircle.txt
9,26,8 pm,MATH 112,Professors Lee&#44; Lupu & Tran,Department of Mathematics and Statistics,Texas Tech University,,DoubleT.jpg,Math Circle,mathcircle.txt
10,3,8 pm,MATH 112,Professors Lee&#44; Lupu & Tran,Department of Mathematics and Statistics,Texas Tech University,,DoubleT.jpg,Math Circle,mathcircle.txt
10,7,8 am-5 pm,Matador Room,Website,Department of Mathematics and Statistics,Texas Tech University,http://www.math.ttu.edu/scmlls2019/,DoubleT.jpg,Scientific Computing meets Machine Learning and Life Sciences,empty.txt
10,8,8 am-5 pm,Matador Room,Website,Department of Mathematics and Statistics,Texas Tech University,http://www.math.ttu.edu/scmlls2019/,DoubleT.jpg,Scientific Computing meets Machine Learning and Life Sciences,empty.txt
10,9,8 am-3 pm,Matador Room,Website,Department of Mathematics and Statistics,Texas Tech University,http://www.math.ttu.edu/scmlls2019/,DoubleT.jpg,Scientific Computing meets Machine Learning and Life Sciences,empty.txt
10,10,8 pm,MATH 112,Professors Lee&#44; Lupu & Tran,Department of Mathematics and Statistics,Texas Tech University,,DoubleT.jpg,Math Circle,mathcircle.txt
10,17,8 pm,MATH 112,Professors Lee&#44; Lupu & Tran,Department of Mathematics and Statistics,Texas Tech University,,DoubleT.jpg,Math Circle,mathcircle.txt
10,24,8 pm,MATH 112,Professors Lee&#44; Lupu & Tran,Department of Mathematics and Statistics,Texas Tech University,,DoubleT.jpg,Math Circle,mathcircle.txt
11,7,8 pm,MATH 112,Professors Lee&#44; Lupu & Tran,Department of Mathematics and Statistics,Texas Tech University,,DoubleT.jpg,Math Circle,mathcircle.txt
11,14,8 pm,MATH 112,Professors Lee&#44; Lupu & Tran,Department of Mathematics and Statistics,Texas Tech University,,DoubleT.jpg,Math Circle,mathcircle.txt
11,21,8 pm,MATH 112,Professors Lee&#44; Lupu & Tran,Department of Mathematics and Statistics,Texas Tech University,,DoubleT.jpg,Math Circle,mathcircle.txt
