month, day, week_day, time, room, speaker,speaker_department,speaker_institution,speaker_url, speaker_image, title, abstract_file
1,28,Monday,3:00 PM,MATH 011,David Weinberg,Department of Mathematics and Statistics,Texas Tech University,,DoubleT.jpg,Semialgebraic and Simplicial Review,empty.txt
2,4,Monday,3:00 PM,MATH 011,David Weinberg,Department of Mathematics and Statistics,Texas Tech University,,DoubleT.jpg,Homology of Chain Complexes,empty.txt
2,11,Monday,3:00 PM,MATH 011,David Weinberg,Department of Mathematics and Statistics,Texas Tech University,,DoubleT.jpg,Long Exact Homology Sequence,empty.txt
2,18,Monday,3:00 PM,MATH 011,David Weinberg,Department of Mathematics and Statistics,Texas Tech University,,DoubleT.jpg,"Long Exact Homology Sequence, II",empty.txt
2,25,Monday,3:00 PM,MATH 011,David Weinberg,Department of Mathematics and Statistics,Texas Tech University,,DoubleT.jpg,Mayer-Vietoris,empty.txt
3,4,Monday,3:00 PM,MATH 011,David Weinberg,Department of Mathematics and Statistics,Texas Tech University,,DoubleT.jpg,Invariance of Homology,empty.txt
3,18,Monday,3:00 PM,MATH 011,Rachel Harris,Department of Mathematics and Statistics,Texas Tech University,,DoubleT.jpg,Homology of the Real Projective Plane,empty.txt
3,18,Monday,3:00 PM,MATH 011,Dylan Young,Department of Mathematics and Statistics,Texas Tech University,,DoubleT.jpg,Homology of the Torus,empty.txt
3,25,Monday,3:00 PM,MATH 011,Dylan Young,Department of Mathematics and Statistics,Texas Tech University,,DoubleT.jpg,Homology of the Torus,empty.txt
3,25,Monday,3:00 PM,MATH 011,Alexis Gomez,Department of Mathematics and Statistics,Texas Tech University,,DoubleT.jpg,Homology of Spheres,empty.txt
4,1,Monday,3:00 PM,MATH 011,Veniamin Smirnov,Department of Mathematics and Statistics,Texas Tech University,,DoubleT.jpg,Singular Homology of the 2-Sphere,empty.txt
4,8,Monday,3:00 PM,MATH 011,Ramiro Ramirez,Department of Mathematics and Statistics,Texas Tech University,,DoubleT.jpg,Homology of Nonorientable Surfaces of Genus g,empty.txt
4,29,Monday,3:00 PM,MATH 011,Stephen Pena,Department of Mathematics and Statistics,Texas Tech University,,DoubleT.jpg,Homology of Invariantes of Genus g Orientable Surfaces,empty.txt
5,6,Monday,3:00 PM,MATH 011,Stephen Pena,Department of Mathematics and Statistics,Texas Tech University,,DoubleT.jpg,Homology Computations,empty.txt
