month,day,time,room,speaker,speaker_department,speaker_institution,speaker_url,speaker_image,title,abstract_file
9,10,4 pm,EDU 156,James Durham,College of Education,Texas Tech University,,DoubleT.jpg,Foundation Math in K-4 Classrooms,
9,17,4 pm,EDU 156,James Durham,College of Education,Texas Tech University,,DoubleT.jpg,Understanding the Relationships between Basic Geometric shapes in Middle School Math Classrooms,
9,24,4 pm,EDU 156,Jerry Dwyer,College of Education,Texas Tech University,,DoubleT.jpg,What is Mathematical Maturity?,
10,1,4 pm,EDU 156,Jessica L. Simpson,College of Education,Texas Tech University,,DoubleT.jpg,Math Textbooks for the Early Grades,
10,8,4 pm,EDU 156,Jessica L. Simpson,College of Education,Texas Tech University,,DoubleT.jpg,"A Child's Math Story",
10,22,4 pm,EDU 156,Ryan Campbell,College of Education,Texas Tech University,,DoubleT.jpg,Beyond the Standards: Discussions on real-world relevance of geometry and statistics for teacher candidates,
10,29,4 pm,EDU 156,Jerry Dwyer,College of Education,Texas Tech University,,DoubleT.jpg,Computational Thinking,
11,5,4 pm,EDU 156,Levi Johnson and Brock Williams,College of Education,Texas Tech University,,Williams_Brock.jpg,"Authentic Assessment of Undergraduate Mathematics Learning Part II",
11,19,4 pm,EDU 156,Jessica L. Simpson,College of Education,Texas Tech University,,DoubleT.jpg,"A Child's Math Story, Part 2: Exploring early grade school years",
11,26,4 pm,EDU 156,Ryan Campbell,College of Education,Texas Tech University,,DoubleT.jpg,"Gendered Perceptions of Aptitudes, Values, and Interests in Mathematics",rc.txt
12,3,4 pm,EDU 156,James Durhan,College of Education,Texas Tech University,,DoubleT.jpg,"Spatial reasoning in K-12 geometry",
