month,day,time,room,speaker,speaker_department,speaker_institution,speaker_url,speaker_image,title,abstract_file
9,9,2:00 PM,MATH 016,David Weinberg,Department of Mathematics and Statistics,Texas Tech University,http://www.math.ttu.edu/~dweinber/,Weinberg_David.jpg,Introduction,empty.txt
9,16,2:00 PM,MATH 016,David Weinberg,Department of Mathematics and Statistics,Texas Tech University,http://www.math.ttu.edu/~dweinber/,Weinberg_David.jpg,Let's Go Quadratic,empty.txt
9,23,2:00 PM,MATH 016,David Weinberg,Department of Mathematics and Statistics,Texas Tech University,http://www.math.ttu.edu/~dweinber/,Weinberg_David.jpg,Projective Geometry,empty.txt
9,30,2:00 PM,MATH 016,David Weinberg,Department of Mathematics and Statistics,Texas Tech University,http://www.math.ttu.edu/~dweinber/,Weinberg_David.jpg,Projective Conics,empty.txt
10,7,2:00 PM,MATH 016,David Weinberg,Department of Mathematics and Statistics,Texas Tech University,http://www.math.ttu.edu/~dweinber/,Weinberg_David.jpg,Ideals,empty.txt
10,21,2:00 PM,MATH 016,David Weinberg,Department of Mathematics and Statistics,Texas Tech University,http://www.math.ttu.edu/~dweinber/,Weinberg_David.jpg,Nullstellensatz I,empty.txt
10,28,2:00 PM,MATH 016,David Weinberg,Department of Mathematics and Statistics,Texas Tech University,http://www.math.ttu.edu/~dweinber/,Weinberg_David.jpg,Isomorphism of Affine Varieties,empty.txt
11,04,2:00 PM,MATH 016,David Weinberg,Department of Mathematics and Statistics,Texas Tech University,http://www.math.ttu.edu/~dweinber/,Weinberg_David.jpg,Isomorphism of Varieties II,empty.txt
11,11,2:00 PM,MATH 016,David Weinberg,Department of Mathematics and Statistics,Texas Tech University,http://www.math.ttu.edu/~dweinber/,Weinberg_David.jpg,Birational Equivalence,empty.txt
11,18,2:00 PM,MATH 016,David Weinberg,Department of Mathematics and Statistics,Texas Tech University,http://www.math.ttu.edu/~dweinber/,Weinberg_David.jpg,Noether Normalization (and What is an Algebra?),empty.txt
11,25,2:00 PM,MATH 016,David Weinberg,Department of Mathematics and Statistics,Texas Tech University,http://www.math.ttu.edu/~dweinber/,Weinberg_David.jpg,Noether Normalization II,empty.txt
